JobID,Job Title,Company,Recruiter,Industry,Role,Seniority,SalaryMin,SalaryMax,SalaryPeriod,ContractType,ContractLength (Months),Location,Remote,Office Days,PostedOn,Link
177,Senior Data Analyst,Free-Work UK,TRUE,Finance,Data Analyst,Senior,60000,80000,Annual,,,London,On-site,,Mar-24,https://www.linkedin.com/jobs/view/4190184561/
178,Senior Data Analyst,Finatal,FALSE,Technology,Data Analyst,Senior,,70000,Annual,Permanent,,London,Hybrid,3,Mar-24,https://www.linkedin.com/jobs/view/4189427318/
188,Senior Data Analyst,Harnham,TRUE,Technology,Data Analyst,Senior,60000,80000,Annual,,,London,On-site,,Mar-24,https://www.linkedin.com/jobs/view/4179899009/
191,Senior Data Analyst,Harnham,TRUE,Sports,Data Analyst,Senior,,80000,Annual,,,London,Hybrid,4,Mar-24,https://www.linkedin.com/jobs/view/4192294128/
192,Senior Data Analyst,Harnham,TRUE,,Data Analyst,Senior,75000,85000,Annual,,,London,Hybrid,3,Mar-24,https://www.linkedin.com/jobs/view/4180005975/
210,Senior Data Analyst,Inventum Group,TRUE,Finance,Data Analyst,Senior,75000,85000,Annual,,,Sutton ,Hybrid,,Apr-24,https://www.linkedin.com/jobs/view/4196530364/
212,Senior Data Analyst,Omnis Partner,TRUE,Retail,Data Analyst,Senior,70000,90000,Annual,,,London,Hybrid,3,Apr-24,https://www.linkedin.com/jobs/view/4197473994/
201,Senior Business Data Analyst,Health Research Authority,FALSE,Government,Data Analyst,Senior,46148,52809,Annual,Contract,25,United Kingdom,Remote,,Apr-24,https://www.linkedin.com/jobs/view/4198023533/
71,Principle Data Analyst,Auto Trader,FALSE,Retail,Data Analyst,Principle,60000,80000,Annual,,,Manchester,Hybrid,2,Feb-25,https://www.linkedin.com/jobs/view/4098448253/
172,Principal Data Analyst - Business Intelligence,Cuvva,FALSE,Finance,Data Analyst,Principle,91000,100000,Annual,,,London,Hybrid,,Mar-24,https://www.linkedin.com/jobs/view/4189495611/
135,Principal Data Analyst,UK Home Office,FALSE,Government,Data Analyst,Principle,,63900,Annual,,,London,Hybrid,3,Feb-25,https://www.linkedin.com/jobs/view/4153245852/
209,Data Scientist,Spencer Scott,TRUE,Energy,Data Scientist,Base,60000,70000,Annual,,,London,Hybrid,,Apr-24,https://www.linkedin.com/jobs/view/4197593424/
216,Data Scientist,Harnham,TRUE,Marketing,Data Scientist,Base,50000,64000,Annual,,,London,Hybrid,3,Apr-24,https://www.linkedin.com/jobs/view/4199580243/
91,Analytics and AI Consultant - Power BI & Python,Blue Wolf Digital,TRUE,Consulting,Analytics,Consultant,45000,60000,Annual,,,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4094678475/
130,Analytics Business Lecturer,William College,FALSE,Academia,Analytics,Lecturer,35000,55000,Annual,,,London,On-site,,Feb-25,https://www.linkedin.com/jobs/view/4147172306/
92,Analytics Consultant - Marketing Mix Modelling,Silverdrum,TRUE,Media,Analytics,Consultant,55000,60000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4102708491/
120,Analytics Consultant - Trade,83data,TRUE,Media,Analytics,Consultant,60000,65000,Annual,,,United Kingdom,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4158226534/
70,Performance and Data Analyst,The Pensions Regulator,FALSE,Government,Data Analyst,Base,35600,,Annual,,,Brighton,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/4083363621/
93,Analytics Engineer,Harnham,TRUE,Research,Analytics Engineer,Base,55000,75000,Annual,,,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4104815684/
42,Lead Data Analyst,Formula Recruitment,TRUE,Technology,Data Analyst,Lead,60000,70000,Annual,,,Manchester,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4098054919/
43,Lead Data Analyst,Harnham,TRUE,Technology,Data Analyst,Lead,55000,60000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4096543146/
94,Analytics Engineering Manager - Borrowing,Monzo Bank,FALSE,Finance,Analytics Engineer,Manager,92500,125000,Annual,,,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4146989385/
155,Audience Analyst,Victoria and Albert Museum,FALSE,Academia,Data Analyst,Base,40000,45000,Annual,Contract,,London,Hybrid,,Mar-24,https://www.linkedin.com/jobs/view/4182001487/
141,Automation and Analytics Team Lead,BBC,FALSE,Media,Analytics,Team Lead,,72000,Annual,Permanent,,London,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4155442399/
109,Behavioural Insights Lead,Maximus UK,FALSE,Healthcare,Insights Analyst,Lead,42000,47000,Annual,Contract,12 Months,United Kingdom,Remote,,Jan-25,https://www.linkedin.com/jobs/view/4126134521/
51,BI Analyst,CPS Group,FALSE,Marketing,BI Analyst,Base,35000,45000,Annual,,,Bedforf,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4084813682/
126,BI and Marketing Analyst,Harnham,TRUE,Healthcare,BI Analyst,Base,50000,60000,Annual,,,London,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4158735847/
53,BI Insight Lead,Harnham,TRUE,Retail,BI Analyst,Lead,,50000,Annual,,,Birmingham ,Hybrid,3,Jan-25,https://www.linkedin.com/jobs/view/4102343135/
56,Business Intelligence Analyst,Diamond4Jobs,TRUE,Finance,BI Analyst,Base,,45000,Annual,,,Basingstoke,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/business-intelligence-analyst-basingstoke-2-days-a-week-at-diamond4jobs-4063741566/
57,Business Intelligence Analyst,The Wodland Trust,FALSE,Voluntary,BI Analyst,Base,37000,39000,Annual,,,United Kingdom,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4147651200/
119,Business Intelligence Analyst,In Technology Group,TRUE,Voluntary,BI Analyst,Base,45000,55000,Annual,,,Farnborough,Hybrid,2,Feb-25,https://www.linkedin.com/jobs/view/4168481328/
166,Business Intelligence Analyst,Finatal,FALSE,Technology,BI Analyst,Base,,85000,Annual,,,London,Hybrid,3,Mar-24,https://www.linkedin.com/jobs/view/4181798601/
44,Lead Data Analyst,Michael Page,TRUE,Finance,Data Analyst,Lead,80000,115000,Annual,,,London,Hybrid,4,Dec-24,https://www.linkedin.com/jobs/view/4096520586/
171,Business Intelligence Analyst,Eames Consulting,TRUE,Finance,BI Analyst,Base,70000,75000,Annual,,,London,Hybrid,,Mar-24,https://www.linkedin.com/jobs/view/4177444942/
124,Business Intelligence Consultant,83data,TRUE,Healthcare,BI Analyst,Consultant,,60000,Annual,,,United Kingdom,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4141994390/
45,Lead Data Analyst,Scalexperts,TRUE,Technology,Data Analyst,Lead,70000,80000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4087078446/
134,Lead Data Analyst,UK Home Office,FALSE,Government,Data Analyst,Lead,,60300,Annual,,,London,Hybrid,3,Feb-25,https://www.linkedin.com/jobs/view/4153246738/
164,Business Intelligence Consultant,Net Talent,TRUE,Consulting,BI Analyst,Consultant,50000,70000,Annual,,,United Kingdom,Remote,,Mar-24,https://www.linkedin.com/jobs/view/4175731921/
59,Business Intelligence Lead,Harnham,TRUE,Healthcare,BI Analyst,Lead,60000,70000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4106227723/
131,Commercial Analyst,Propel,TRUE,Healthcare,Commercial Analyst,Base,45000,50000,Annual,,,London,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4153152729/
153,Commercial Analyst,Vertical Advantage,TRUE,Manufacturing,Commercial Analyst,Base,45000,55000,Annual,,,Slough,Hybrid,3,Mar-24,https://www.linkedin.com/jobs/view/3790024652/
60,Commercial Data Analytics Developer,First Central,FALSE,Technology,Commercial Analyst,Base,35000,42000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4104196357/
160,Commercial Insight Analyst,Omnis Partner,TRUE,Technology,Commercial Analyst,Base,40000,50000,Annual,,,London,Hybrid,,Mar-24,https://www.linkedin.com/jobs/view/4143603516/
218,Data Scientist,Harnham,TRUE,Marketing,Data Scientist,Base,,60000,Annual,,,Reading,Hybrid,3,Apr-24,https://www.linkedin.com/jobs/view/4172874288/
61,Company Intelligence Analyst,Deltabase,FALSE,Technology,BI Analyst,Base,35000,,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4122074098/
98,Customer Insights Analyst - SaaS,Principle,TRUE,Technology,Insights Analyst,Base,40000,46000,Annual,Contract,11 Months,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4101153927/
189,Lead Data Analyst,Harnham,TRUE,Sports,Data Analyst,Lead,,80000,Annual,,,London,Hybrid,4,Mar-24,https://www.linkedin.com/jobs/view/4192430867/
62,Data and BI Analyst,Harnham,TRUE,Finance,BI Analyst,Base,50000,60000,Annual,,,London,Hybrid,3,Dec-24,https://www.linkedin.com/jobs/view/4077447571/
63,Data and Insights Analyst,Measurelab,FALSE,Marketing,Insights Analyst,Base,40000,50000,Annual,,,United Kingdom,Remote,,Jan-25,https://www.linkedin.com/jobs/view/4106723368/
64,Data and Insights Analyst,Scalexperts,TRUE,Healthcare,Insights Analyst,Base,35000,38000,Annual,,,United Kingdom,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4099925222/
145,Data and Tooling Associate,Entrepreneurs First ,FALSE,Consulting,Data Analyst,Associate,42000,65000,Annual,Permanent,,London,Hybrid,,Aug-24,https://www.linkedin.com/jobs/view/3983555429/
88,Data Architect/Engineer Apprenticeship,Office for National Statistics,FALSE,Government,Data Architect,Apprentice,,27252,Annual,Contract,24 Months,Fareham,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4104170538/
158,Data Insight Analyst - Consumer Behaviour,Datatech Analytics,FALSE,Sales,Insights Analyst,Consultant,,60000,Annual,,,London,Hybrid,3,Mar-24,https://www.linkedin.com/jobs/view/4174529152/
220,Data Insights Analyst,TalentHawk,TRUE,,Insights Analyst,Base,45000,55000,Annual,,,Portsmouth,Hybrid,,Apr-24,https://www.linkedin.com/jobs/view/4186260340/
211,Lead Data Analyst,McCabe & Barton,TRUE,,Data Analyst,Lead,,90000,Annual,,,London,Hybrid,2,Apr-24,https://www.linkedin.com/jobs/view/4196557980/
82,Data Intelligence and Insights Specialist,Lloyds Banking Group,FALSE,Finance,BI Analyst,Base,42000,50000,Annual,,,Birmingham,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/4105700025/
83,Data Operations Senior Analyst,The Openwork Partnership,FALSE,Finance,Data Operations,Senior,40000,50000,Annual,,,London,Hybrid,2,Dec-24,https://www.linkedin.com/jobs/view/4089964006/
207,Data Science Manager,Adecco,TRUE,Finance,Data Scientist,Manager,100000,120000,Annual,,,Bromley,Hybrid,2,Apr-24,https://www.linkedin.com/jobs/view/4197592939/
84,Data Science Manager - Financial Crime,Monzo Bank,FALSE,Finance,Data Scientist,Manager,100000,115000,Annual,,,London,Remote,,Feb-25,https://www.linkedin.com/jobs/view/4068450505/
150,Data Solutions Manager,Education Development Trust,FALSE,Academia,Data Solutions,Manager,,45000,Annual,Permanent,,Reading,Hybrid,,Jul-24,https://www.linkedin.com/jobs/view/3954136037/
27,Junior Data Analyst,Intellect Group,TRUE,Consulting,Data Analyst,Junior,35000,45000,Annual,,,London,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4090804208/
28,Junior Data Analyst,Xpertise Recruitment,TRUE,Finance,Data Analyst,Junior,,350,Daily,Contract,6 Months,London,Remote,,Dec-24,https://www.linkedin.com/jobs/view/4096529504/
101,Investment Data Analyst,Harnham,TRUE,Finance,Data Analyst,Base,90000,120000,Annual,,,London,On-site,,Dec-24,https://www.linkedin.com/jobs/view/4093835797/
204,Digital Analyst,Salt,TRUE,Retail,Data Analyst,Base,40000,43000,Annual,,,London,Hybrid,2,Apr-24,https://www.linkedin.com/jobs/view/4196537271/
85,Digital Analytics Consultant,Harnham,TRUE,,Analytics,Consultant,65000,75000,Annual,,,United Kingdom,Remote,,Nov-24,https://www.linkedin.com/jobs/view/3976887320/
154,Digital Analytics Consultant,Harnham,TRUE,Consulting,Analytics,Consultant,55000,65000,Annual,Permanent,,Woking,Remote,,Mar-24,https://www.linkedin.com/jobs/view/3781941684/
67,Digital Data Analyst,TLP Consultancy,TRUE,Manufacturing,Data Analyst,Base,40000,43500,Annual,,,Epsom,Hybrid,3,Feb-25,https://www.linkedin.com/jobs/view/4148753203/
217,Digital Analytics Consultant,Harnham,TRUE,Marketing,Analytics,Consultant,70000,80000,Annual,,,United Kingdom,Remote,,Apr-24,https://www.linkedin.com/jobs/view/4198243725/
148,Enterprise Architect (Data Technology),BAE Systems,FALSE,Manufacturing,Enterprise Architect,Base,,85000,Annual,Permanent,,Frimley,Hybrid,,Aug-24,https://www.linkedin.com/jobs/view/3958939965/
58,Head of Business Intelligence,DiverseJobsMatter,TRUE,,BI Analyst,Head,54300,73200,Annual,,,United Kingdom,Hybrid,,Dec-24,https://www.linkedin.com/jobs/view/4105548057/
205,Head of Data,Defaqto,FALSE,Finance,Data Analyst,Head,90000,120000,Annual,,,Buckinghamshire,Hybrid,,Apr-24,https://www.linkedin.com/jobs/view/4197549691/
100,Hedge Fund Operations and Data Visualisation Analyst,Martis Search,TRUE,Finance,Data Analyst,Base,40000,70000,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4119734542/
163,Insight Analyst,Digital Waffle,TRUE,Marketing,Insights Analyst,Base,,55000,Annual,,,London,Hybrid,2,Mar-24,https://www.linkedin.com/jobs/view/4186784055/
68,Insights Analyst,Salt,TRUE,Retail,Insights Analyst,Base,43000,48000,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4104325824/
146,Insights Analyst,ENI – Elizabeth Norman International,TRUE,Sales,Insights Analyst,Base,30000,40000,Annual,Permanent,,Woking,Hybrid,3,Jul-24,https://www.linkedin.com/jobs/view/3987817420/
168,Insights Analyst,Hartree Partners,FALSE,Manufacturing,Insights Analyst,Base,,60000,Annual,,,London,Hybrid,3,Mar-24,https://www.linkedin.com/jobs/view/4168376446/
69,Insights Analyst - Procurement,Scalexperts,TRUE,Technology,Insights Analyst,Base,35000,38000,Annual,,,London,Remote,,Jan-25,https://www.linkedin.com/jobs/view/4112917981/
29,Junior Data & Insight Analyst,adam&eveDDB,FALSE,Advertising,Insights Analyst,Junior,,30000,Annual,,,London,Hybrid,,Jan-25,https://www.linkedin.com/jobs/view/4139331072/
190,Lead Analyst,Harnham,TRUE,Sports,Data Analyst,Lead,,80000,Annual,,,London,Hybrid,4,Mar-24,https://www.linkedin.com/jobs/view/4192459057/
122,Lead BI Analyst,Oliver Bernard,TRUE,Technology,BI Analyst,Lead,70000,75000,Annual,,,London,Hybrid,,Feb-25,https://www.linkedin.com/jobs/view/4165477641/
